time,qty,sin_week,cos_week,sincos_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2016-04-18,740,0.9473263538541915,-0.3202698538628374,-0.3034000729092965,16.714285714285715,11.714285714285714,21.857142857142858,8.285714285714286,57.857142857142854,10.0,8.285714285714286,18.0,4.714285714285714,1010.5714285714286,1
2016-04-25,1126,0.9027978299657436,-0.4300652022765202,-0.388261931359021,15.571428571428571,10.285714285714286,21.428571428571427,6.714285714285714,53.714285714285715,15.428571428571429,9.285714285714286,19.285714285714285,6.142857142857143,1013.4285714285714,1
2016-05-02,944,0.8455960035018263,-0.5338233779647903,-0.45139891498287155,13.142857142857142,9.142857142857142,17.571428571428573,5.857142857142857,59.857142857142854,10.571428571428571,10.142857142857142,20.285714285714285,4.714285714285714,1011.8571428571429,-1
2016-05-09,981,0.7765238627180425,-0.630087843581711,-0.489278246149752,17.857142857142858,12.0,22.714285714285715,6.857142857142857,49.285714285714285,14.857142857142858,7.857142857142857,16.857142857142858,9.857142857142858,1016.2857142857143,1
2016-05-16,961,0.6965510290629968,-0.7175072570443313,-0.4997804182543971,16.0,12.714285714285714,19.857142857142858,11.857142857142858,75.85714285714286,9.428571428571429,8.571428571428571,19.142857142857142,4.714285714285714,1007.1428571428571,-1
2016-05-23,999,0.6068001458185932,-0.7948544414133534,-0.48231779095417926,17.285714285714285,11.428571428571429,23.0,9.0,59.57142857142857,13.571428571428571,8.285714285714286,17.428571428571427,0.0,1014.1428571428571,1
2016-05-30,1141,0.5085311186492204,-0.8610436117673556,-0.4378674710978184,20.0,14.857142857142858,24.857142857142858,12.142857142857142,62.285714285714285,11.0,8.142857142857142,15.571428571428571,0.0,1011.7142857142857,1
2016-06-06,1109,0.40312342928797223,-0.9151456172430185,-0.3689166395208637,18.857142857142858,15.142857142857142,23.857142857142858,14.428571428571429,76.85714285714286,9.285714285714286,6.285714285714286,18.714285714285715,0.0,1013.0,-1
2016-06-13,992,0.2920567706369759,-0.9564009842765224,-0.2793233829018263,20.857142857142858,16.714285714285715,26.142857142857142,14.857142857142858,70.14285714285714,9.0,7.0,20.714285714285715,11.285714285714286,1011.7142857142857,1
2016-06-20,913,0.17689027512257316,-0.9842305779475968,-0.1741008177171996,20.0,15.428571428571429,24.857142857142858,13.428571428571429,67.42857142857143,11.142857142857142,8.857142857142858,20.714285714285715,6.571428571428571,1009.2857142857143,-1
2016-06-27,1170,0.059240627893714586,-0.9982437317643214,-0.0591365854606832,25.857142857142858,20.0,31.142857142857142,16.285714285714285,55.57142857142857,14.428571428571429,6.571428571428571,15.285714285714286,11.428571428571429,1016.4285714285714,1
2016-07-04,1881,-0.059240627893714336,-0.9982437317643215,0.059136585460682956,25.285714285714285,20.571428571428573,30.142857142857142,15.857142857142858,56.57142857142857,10.428571428571429,7.714285714285714,16.571428571428573,0.0,1015.4285714285714,1
2016-07-11,1949,-0.17689027512257294,-0.9842305779475968,0.17410081771719937,27.285714285714285,22.0,32.142857142857146,17.571428571428573,55.714285714285715,10.571428571428571,7.714285714285714,14.428571428571429,4.571428571428571,870.0,1
2016-07-18,1512,-0.2920567706369757,-0.9564009842765224,0.2793233829018261,23.285714285714285,16.857142857142858,29.285714285714285,11.714285714285714,51.57142857142857,20.714285714285715,9.714285714285714,24.285714285714285,23.857142857142858,1014.2857142857143,1
2016-07-25,1257,-0.403123429287972,-0.9151456172430186,0.3689166395208635,26.428571428571427,21.0,31.428571428571427,16.714285714285715,55.42857142857143,10.428571428571429,6.714285714285714,13.714285714285714,0.0,1015.5714285714286,1
2016-08-01,1211,-0.5085311186492202,-0.8610436117673557,0.4378674710978182,25.428571428571427,20.0,30.714285714285715,18.0,64.28571428571429,10.714285714285714,7.428571428571429,18.142857142857142,12.714285714285714,1014.1428571428571,-1
2016-08-08,1230,-0.606800145818593,-0.7948544414133535,0.48231779095417915,24.571428571428573,18.857142857142858,29.428571428571427,14.714285714285714,56.285714285714285,20.714285714285715,7.428571428571429,16.428571428571427,13.857142857142858,1016.7142857142857,1
2016-08-15,904,-0.6965510290629966,-0.7175072570443315,0.4997804182543971,22.857142857142858,17.714285714285715,28.0,14.571428571428571,60.42857142857143,10.857142857142858,6.571428571428571,13.285714285714286,3.7142857142857144,1019.0,1
2016-08-22,947,-0.776523862718042,-0.6300878435817117,0.4892782461497522,24.142857142857142,19.857142857142858,29.0,16.714285714285715,63.57142857142857,10.714285714285714,7.428571428571429,15.714285714285714,6.142857142857143,1013.8571428571429,1
2016-08-29,905,-0.8455960035018258,-0.533823377964791,0.4513989149828719,25.0,19.571428571428573,30.571428571428573,15.0,54.142857142857146,10.0,6.857142857142857,13.0,0.0,1019.8571428571429,1
2016-09-05,604,-0.9027978299657432,-0.4300652022765212,0.3882619313590217,25.142857142857142,20.428571428571427,30.142857142857142,16.714285714285715,60.857142857142854,9.714285714285714,5.857142857142857,13.0,0.0,1017.2857142857143,1
2016-09-12,569,-0.9473263538541913,-0.32026985386283807,0.30340007290929705,24.714285714285715,19.0,30.428571428571427,14.285714285714286,54.0,10.0,6.285714285714286,16.714285714285715,3.7142857142857144,1016.4285714285714,1
2016-09-19,694,-0.9785564922995039,-0.20597861874109852,0.20156171464398623,21.714285714285715,17.285714285714285,27.142857142857142,14.285714285714286,65.71428571428571,12.0,6.714285714285714,14.285714285714286,0.0,1012.5714285714286,1
2016-09-26,594,-0.9960498426152169,-0.08879589532293546,0.08844513756128713,18.857142857142858,13.857142857142858,24.285714285714285,11.571428571428571,62.714285714285715,10.571428571428571,6.428571428571429,12.0,0.0,1019.4285714285714,1
2016-10-03,711,-0.9995608365087943,0.02963332782256031,-0.029620313946857713,19.285714285714285,14.285714285714286,24.857142857142858,12.428571428571429,64.42857142857143,10.428571428571429,6.428571428571429,13.0,6.0,1020.4285714285714,1
2016-10-10,675,-0.9890401873221639,0.14764656400248125,-0.1460283853184879,14.285714285714286,9.714285714285714,19.428571428571427,7.0,63.714285714285715,10.285714285714286,8.571428571428571,17.428571428571427,6.142857142857143,1017.4285714285714,1
2016-10-17,729,-0.9646355819083585,0.263587166069068,-0.25426555932461053,11.857142857142858,8.714285714285714,15.571428571428571,9.285714285714286,84.0,7.428571428571429,5.571428571428571,13.428571428571429,9.571428571428571,1017.1428571428571,-1
2016-10-24,809,-0.9266896074318335,0.37582758211423806,-0.3482755145314984,12.285714285714286,9.857142857142858,15.571428571428571,10.714285714285714,88.42857142857143,6.0,5.285714285714286,11.285714285714286,5.0,1017.1428571428571,1
2016-10-31,824,-0.8757349421956367,0.482792202730745,-0.42279800175091314,12.857142857142858,9.714285714285714,18.0,10.857142857142858,89.85714285714286,5.285714285714286,4.857142857142857,11.571428571428571,0.0,1026.0,1
2016-11-07,797,-0.8124868780056815,0.5829794791144718,-0.4736631769270956,10.714285714285714,7.142857142857143,13.571428571428571,8.0,85.28571428571429,6.142857142857143,6.571428571428571,14.142857142857142,7.428571428571429,1012.2857142857143,1
2016-11-14,584,-0.7378332790417272,0.6749830015182106,-0.49802492130760845,6.428571428571429,2.2857142857142856,11.142857142857142,2.857142857142857,78.0,7.571428571428571,6.571428571428571,12.714285714285714,3.4285714285714284,1014.5714285714286,-1
2016-11-21,594,-0.6528221181905214,0.7575112421616204,-0.494520093661082,7.0,5.142857142857143,8.857142857142858,6.0,92.28571428571429,3.4285714285714284,5.0,9.571428571428571,0.0,1020.1428571428571,-1
2016-11-28,896,-0.5586467658036526,0.8294056854502017,-0.46334480371591674,11.285714285714286,9.428571428571429,13.285714285714286,11.0,95.71428571428571,6.571428571428571,8.142857142857142,16.714285714285715,6.857142857142857,1016.5714285714286,-1
2016-12-05,632,-0.4566292373937129,0.8896570909947473,-0.40624343900284055,6.285714285714286,3.0,9.571428571428571,3.142857142857143,75.42857142857143,12.571428571428571,6.857142857142857,14.142857142857142,9.428571428571429,1024.5714285714287,1
2016-12-12,1030,-0.34820163543439914,0.9374196611341208,-0.3264110590952611,2.2857142857142856,-0.2857142857142857,6.571428571428571,3.2857142857142856,97.85714285714286,1.4285714285714286,4.428571428571429,9.0,0.0,1028.857142857143,1
2016-12-19,945,-0.23488604578098374,0.9720229140804107,-0.22831461869685657,1.4285714285714286,0.2857142857142857,3.142857142857143,1.8571428571428572,98.57142857142857,1.4285714285714286,4.857142857142857,8.857142857142858,0.0,1030.857142857143,1
2016-12-26,592,-0.1182731709213664,0.9929810960135169,-0.11744302289049242,4.571428571428571,0.7142857142857143,8.714285714285714,4.142857142857143,94.57142857142857,4.857142857142857,5.0,13.285714285714286,0.0,1028.2857142857142,1
2017-01-02,859,0.11827317092136579,0.9929810960135169,0.11744302289049181,3.5714285714285716,-1.4285714285714286,10.142857142857142,1.1428571428571428,76.71428571428571,8.142857142857142,6.285714285714286,13.571428571428571,5.0,1030.5714285714287,1
2017-01-09,1725,0.23488604578098365,0.9720229140804107,0.22831461869685651,1.4285714285714286,-3.142857142857143,5.857142857142857,0.42857142857142855,56.57142857142857,20.428571428571427,8.857142857142858,20.142857142857142,21.142857142857142,1022.0,1
2017-01-16,1346,0.34820163543439875,0.9374196611341209,0.3264110590952608,1.2857142857142858,-1.5714285714285714,4.714285714285714,0.14285714285714285,60.142857142857146,10.571428571428571,8.285714285714286,15.714285714285714,6.142857142857143,1013.5714285714286,1
