time,qty,sin_week,cos_week,sincos_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2017-05-15,675,0.6965510290629968,-0.7175072570443313,-0.4997804182543971,16.142857142857142,10.857142857142858,20.285714285714285,10.428571428571429,70.42857142857143,17.428571428571427,7.285714285714286,14.714285714285714,0.0,1013.1428571428571,-1
2017-05-22,736,0.6068001458185932,-0.7948544414133534,-0.48231779095417926,19.285714285714285,12.857142857142858,23.857142857142858,9.857142857142858,57.285714285714285,19.571428571428573,8.428571428571429,15.428571428571429,0.0,1018.8571428571429,1
2017-05-29,809,0.5085311186492204,-0.8610436117673556,-0.4378674710978184,22.857142857142858,17.857142857142858,27.857142857142858,13.571428571428571,56.857142857142854,19.857142857142858,7.428571428571429,13.0,0.0,1018.0,1
2017-06-05,826,0.40312342928797223,-0.9151456172430185,-0.3689166395208637,21.571428571428573,16.857142857142858,26.428571428571427,14.714285714285714,66.14285714285714,19.428571428571427,8.0,19.857142857142858,0.0,1015.7142857142857,-1
2017-06-12,679,0.2920567706369759,-0.9564009842765224,-0.2793233829018263,21.571428571428573,15.714285714285714,26.857142857142858,13.285714285714286,60.714285714285715,18.0,6.571428571428571,12.857142857142858,0.0,1015.7142857142857,1
2017-06-19,729,0.17689027512257316,-0.9842305779475968,-0.1741008177171996,25.142857142857142,19.857142857142858,29.857142857142858,17.0,62.0,18.428571428571427,7.571428571428571,16.142857142857142,0.0,1016.8571428571429,1
2017-06-26,845,0.059240627893714586,-0.9982437317643214,-0.0591365854606832,26.0,20.285714285714285,31.142857142857142,18.857142857142858,65.28571428571429,19.857142857142858,7.571428571428571,18.142857142857142,0.0,1015.4285714285714,1
2017-07-03,1159,-0.059240627893714336,-0.9982437317643215,0.059136585460682956,20.714285714285715,15.714285714285714,25.142857142857142,14.428571428571429,69.14285714285714,19.428571428571427,7.857142857142857,18.571428571428573,0.0,1009.7142857142857,-1
2017-07-10,1064,-0.17689027512257294,-0.9842305779475968,0.17410081771719937,25.0,18.714285714285715,30.0,17.714285714285715,65.28571428571429,19.285714285714285,7.142857142857143,15.571428571428571,0.0,1017.0,1
2017-07-17,952,-0.2920567706369757,-0.9564009842765224,0.2793233829018261,23.428571428571427,18.142857142857142,27.714285714285715,15.714285714285714,63.714285714285715,19.428571428571427,7.142857142857143,13.0,0.0,1016.0,1
2017-07-24,1333,-0.403123429287972,-0.9151456172430186,0.3689166395208635,24.0,19.142857142857142,29.285714285714285,16.428571428571427,63.857142857142854,19.571428571428573,8.0,17.428571428571427,0.0,1014.1428571428571,-1
2017-07-31,1122,-0.5085311186492202,-0.8610436117673557,0.4378674710978182,23.428571428571427,17.857142857142858,29.142857142857142,13.571428571428571,56.714285714285715,18.428571428571427,7.428571428571429,16.571428571428573,0.0,1012.4285714285714,1
2017-08-07,1113,-0.606800145818593,-0.7948544414133535,0.48231779095417915,27.571428571428573,21.857142857142858,32.714285714285715,18.714285714285715,59.714285714285715,20.0,7.142857142857143,14.714285714285714,0.0,1015.2857142857143,1
2017-08-14,699,-0.6965510290629966,-0.7175072570443315,0.4997804182543971,20.857142857142858,15.714285714285714,26.285714285714285,13.857142857142858,65.85714285714286,19.571428571428573,7.571428571428571,13.857142857142858,0.0,1015.4285714285714,-1
2017-08-21,461,-0.776523862718042,-0.6300878435817117,0.4892782461497522,24.0,17.857142857142858,29.285714285714285,14.857142857142858,58.0,19.857142857142858,7.285714285714286,12.714285714285714,0.0,1018.1428571428571,1
2017-08-28,579,-0.8455960035018258,-0.533823377964791,0.4513989149828719,24.142857142857142,18.571428571428573,30.142857142857142,15.571428571428571,60.285714285714285,20.428571428571427,6.857142857142857,12.571428571428571,0.0,1018.1428571428571,1
2017-09-04,440,-0.9027978299657432,-0.4300652022765212,0.3882619313590217,21.571428571428573,17.142857142857142,26.714285714285715,13.0,60.42857142857143,19.285714285714285,8.142857142857142,15.714285714285714,0.0,1014.0,1
2017-09-11,446,-0.9473263538541913,-0.32026985386283807,0.30340007290929705,19.571428571428573,14.428571428571429,24.857142857142858,13.0,68.57142857142857,18.857142857142858,7.142857142857143,15.857142857142858,0.0,1010.1428571428571,1
2017-09-18,415,-0.9785564922995039,-0.20597861874109852,0.20156171464398623,16.428571428571427,11.142857142857142,22.714285714285715,8.285714285714286,59.857142857142854,19.857142857142858,7.142857142857143,15.571428571428571,0.0,1012.0,1
2017-09-25,495,-0.9960498426152169,-0.08879589532293546,0.08844513756128713,16.571428571428573,10.0,22.714285714285715,6.714285714285714,54.57142857142857,20.285714285714285,6.285714285714286,12.142857142857142,0.0,1018.0,1
2017-10-02,530,-0.9995608365087943,0.02963332782256031,-0.029620313946857713,17.142857142857142,14.428571428571429,21.0,10.428571428571429,64.85714285714286,17.285714285714285,5.857142857142857,10.0,0.0,1023.1428571428571,1
2017-10-09,510,-0.9890401873221639,0.14764656400248125,-0.1460283853184879,15.571428571428571,9.0,21.571428571428573,7.0,57.714285714285715,13.571428571428571,6.285714285714286,13.714285714285714,0.0,1017.7142857142857,1
2017-10-16,445,-0.9646355819083585,0.263587166069068,-0.25426555932461053,16.0,9.571428571428571,22.714285714285715,9.0,64.14285714285714,14.142857142857142,5.142857142857143,10.0,0.0,1025.2857142857142,1
2017-10-23,420,-0.9266896074318335,0.37582758211423806,-0.3482755145314984,14.142857142857142,9.0,20.285714285714285,7.571428571428571,64.42857142857143,8.571428571428571,6.571428571428571,15.285714285714286,0.0,1018.8571428571429,1
2017-10-30,396,-0.8757349421956367,0.482792202730745,-0.42279800175091314,12.285714285714286,6.857142857142857,19.142857142857142,3.0,51.285714285714285,10.428571428571429,6.428571428571429,12.714285714285714,0.0,1018.7142857142857,1
2017-11-06,435,-0.8124868780056815,0.5829794791144718,-0.4736631769270956,10.571428571428571,7.0,14.428571428571429,5.857142857142857,73.85714285714286,11.285714285714286,5.571428571428571,10.714285714285714,0.0,1017.1428571428571,1
2017-11-13,477,-0.7378332790417272,0.6749830015182106,-0.49802492130760845,8.285714285714286,4.428571428571429,12.142857142857142,4.714285714285714,77.57142857142857,15.714285714285714,7.0,16.428571428571427,0.0,1012.4285714285714,-1
2017-11-20,376,-0.6528221181905214,0.7575112421616204,-0.494520093661082,6.571428571428571,1.0,13.285714285714286,0.7142857142857143,55.714285714285715,18.142857142857142,5.428571428571429,10.714285714285714,0.0,1018.0,1
2017-11-27,752,-0.5586467658036526,0.8294056854502017,-0.46334480371591674,6.714285714285714,1.2857142857142858,11.714285714285714,3.142857142857143,64.71428571428571,10.142857142857142,6.285714285714286,12.142857142857142,0.0,1019.2857142857143,1
2017-12-04,503,-0.4566292373937129,0.8896570909947473,-0.40624343900284055,1.7142857142857142,-2.2857142857142856,6.142857142857143,0.2857142857142857,65.85714285714286,17.142857142857142,7.0,14.142857142857142,0.0,1013.4285714285714,1
2017-12-11,602,-0.34820163543439914,0.9374196611341208,-0.3264110590952611,2.7142857142857144,-1.4285714285714286,7.571428571428571,0.2857142857142857,62.285714285714285,17.714285714285715,6.285714285714286,17.0,0.0,1018.0,1
2017-12-18,786,-0.23488604578098374,0.9720229140804107,-0.22831461869685657,0.5714285714285714,-3.142857142857143,6.0,0.2857142857142857,69.42857142857143,17.714285714285715,5.571428571428571,11.571428571428571,0.0,1011.0,1
2017-12-25,840,-0.1182731709213664,0.9929810960135169,-0.11744302289049242,1.5714285714285714,-3.142857142857143,7.0,0.14285714285714285,66.57142857142857,17.428571428571427,5.428571428571429,9.714285714285714,0.0,1029.142857142857,1
2018-01-01,566,0.11827317092136579,0.9929810960135169,0.11744302289049181,3.142857142857143,-0.42857142857142855,6.285714285714286,1.0,69.42857142857143,12.571428571428571,6.857142857142857,15.714285714285714,0.0,1008.1428571428571,-1
2018-01-08,979,0.23488604578098365,0.9720229140804107,0.22831461869685651,6.571428571428571,3.2857142857142856,9.285714285714286,4.142857142857143,81.85714285714286,10.0,8.285714285714286,18.571428571428573,0.0,1013.1428571428571,-1
2018-01-15,805,0.34820163543439875,0.9374196611341209,0.3264110590952608,4.714285714285714,2.0,8.714285714285714,2.7142857142857144,80.57142857142857,15.714285714285714,5.428571428571429,11.571428571428571,0.0,1018.2857142857143,1
2018-01-22,1077,0.45662923739371303,0.8896570909947473,0.40624343900284066,5.0,0.14285714285714285,10.857142857142858,0.5714285714285714,58.714285714285715,16.571428571428573,9.142857142857142,21.428571428571427,0.0,1009.5714285714286,1
