time,qty,sin_week,cos_week,sincos_week,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,conditions
2017-09-04,611,-0.9027978299657432,-0.4300652022765212,0.3882619313590217,24.0,19.0,28.714285714285715,14.857142857142858,58.714285714285715,19.571428571428573,9.714285714285714,18.571428571428573,0.0,1014.0,1
2017-09-11,710,-0.9473263538541913,-0.32026985386283807,0.30340007290929705,21.571428571428573,17.142857142857142,25.571428571428573,15.0,67.14285714285714,19.0,11.571428571428571,23.285714285714285,0.0,1010.8571428571429,1
2017-09-18,761,-0.9785564922995039,-0.20597861874109852,0.20156171464398623,20.428571428571427,16.285714285714285,24.714285714285715,14.714285714285714,70.85714285714286,20.0,11.0,18.857142857142858,0.0,1014.7142857142857,1
2017-09-25,734,-0.9960498426152169,-0.08879589532293546,0.08844513756128713,16.857142857142858,12.0,22.285714285714285,9.571428571428571,63.42857142857143,19.714285714285715,10.142857142857142,19.0,0.0,1017.2857142857143,1
2017-10-02,932,-0.9995608365087943,0.02963332782256031,-0.029620313946857713,18.0,13.857142857142858,23.285714285714285,12.714285714285714,71.28571428571429,19.571428571428573,7.714285714285714,13.571428571428571,0.0,1019.7142857142857,1
2017-10-09,727,-0.9890401873221639,0.14764656400248125,-0.1460283853184879,18.0,13.142857142857142,23.0,10.285714285714286,62.142857142857146,18.714285714285715,9.571428571428571,17.714285714285715,0.0,1017.7142857142857,1
2017-10-16,723,-0.9646355819083585,0.263587166069068,-0.25426555932461053,17.285714285714285,12.142857142857142,23.714285714285715,11.714285714285714,71.0,20.142857142857142,6.428571428571429,13.0,0.0,1024.5714285714287,1
2017-10-23,797,-0.9266896074318335,0.37582758211423806,-0.3482755145314984,16.428571428571427,12.0,22.142857142857142,11.428571428571429,73.57142857142857,16.285714285714285,8.857142857142858,16.428571428571427,0.0,1018.4285714285714,1
2017-10-30,696,-0.8757349421956367,0.482792202730745,-0.42279800175091314,14.714285714285714,9.0,20.142857142857142,7.142857142857143,60.285714285714285,20.428571428571427,9.857142857142858,19.714285714285715,0.0,1017.2857142857143,1
2017-11-06,895,-0.8124868780056815,0.5829794791144718,-0.4736631769270956,14.428571428571429,10.142857142857142,18.857142857142858,9.428571428571429,73.0,18.428571428571427,8.428571428571429,16.857142857142858,0.0,1017.2857142857143,-1
2017-11-13,712,-0.7378332790417272,0.6749830015182106,-0.49802492130760845,12.285714285714286,8.714285714285714,16.571428571428573,7.714285714285714,74.0,18.571428571428573,10.285714285714286,19.142857142857142,0.0,1011.2857142857143,-1
2017-11-20,671,-0.6528221181905214,0.7575112421616204,-0.494520093661082,9.571428571428571,6.0,13.857142857142858,5.285714285714286,75.85714285714286,19.571428571428573,9.714285714285714,16.142857142857142,0.0,1012.8571428571429,1
2017-11-27,1002,-0.5586467658036526,0.8294056854502017,-0.46334480371591674,12.142857142857142,7.714285714285714,16.571428571428573,7.571428571428571,73.0,19.285714285714285,10.714285714285714,19.857142857142858,0.0,1019.1428571428571,1
